$PROTNR$;$PROCOD$;$PROTYP$;$PRONAM$;$PROEAN$;$PROKDS$;$PROLDS$;$PROLIF$;$PROMMG$;$PROSTA$;$PROBEH$;$PROVEP$;$PROPEH$;$PROIEH$;$PROLZE$;$PROWFL$;$PROLIK$;$PROOPR$;$PROMPR$;$PROVVA$;$PROKRE$;$PROZOL$;$PRONEX$;$PROONL$;$PROOST$;$PROKEY$;$PROODE$;$PROSEQ$
$102792$;$102792$;$Ersatzteil$;$Kohle K 8 5x8x22 L43 F13$;$4030293001008$;$22 MM LANG,QUAL. L43F13$;$$;$$;0;0;0;0;0;$$;0;0;$$;3.75;0.0;$$;$$;$85452000$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$102830$;$102830$;$Ersatzteil$;$Ring, Dichtungs- 6202J$;$4030293001015$;$VORSPANNUNG O,O5 - 0,O8$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.0;0.0;$$;$$;$73269095$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$102881$;$102881$;$Ersatzteil$;$Welle, Getriebe- ZL 202#$;$4030293001053$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;20.2;0.0;$$;$$;$84831095$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$102970$;$102970$;$Ersatzteil$;$Ring, Sicherungs- DIN 471 9X1$;$4030293001091$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73182900$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$103519$;$103519$;$Ersatzteil$;$Schlauch, Kabelschutz d = 9$;$4030293001183$;$9/9,2 MM DURCHMESSER,AUS PVC, SHORE 55 GRAD$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.4;0.0;$$;$$;$40169991$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$104167$;$104167$;$Ersatzteil$;$Innensechskantschlüssel, SW 6$;$4030293001251$;$DIN 911$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.1;0.0;$$;$$;$82041100$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$104205$;$104205$;$Ersatzteil$;$Schraube, DIN   84  M  5x 16$;$4030293001275$;$Zylinder QUAL. 4.8 VERZINKT$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73181559$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$104248$;$104248$;$Ersatzteil$;$Scheibe,Fächer 5,3$;$4030293001299$;$Schnorr  S 5                            Federstahl, schwarz$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73182200$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$104329$;$104329$;$Ersatzteil$;$Ritzel   MZ 0,8  x 15        #$;$4030293001312$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;33.7;0.0;$$;$$;$84839089$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$104582$;$104582$;$Ersatzteil$;$Feder, Druck$;$4030293110298$;$IHRE NR. 111215 GEMÄß IHREM ANGEBOT     NR. 101386$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.1;0.0;$$;$$;$73202081$;$1$;$J$;$J$;$300$;$Nexmart$;10;
